# candidate_names, preds, decision_scores, anomaly_scores, areas, lambda_1
NDWFS_J143255.8+340305 1.0 0.0617387899131715 -0.4382612100868285 947.0 28.900991089215054
NDWFS_J143101.0+350024 -1.0 -0.02697340389131153 -0.5269734038913115 4438.0 256.28333025275657
NDWFS_J142720.1+353849 1.0 0.06672165082698966 -0.43327834917301034 1045.0 35.0144704081865
NDWFS_J143226.9+353025 1.0 0.08278282126480269 -0.4172171787351973 847.0 39.669330390439846
NDWFS_J143458.2+333045 1.0 0.0704542845037287 -0.4295457154962713 1124.0 26.36673246937328
NDWFS_J142927.1+350253 -1.0 -0.053600801971997236 -0.5536008019719972 3977.0 195.81514456745495
NDWFS_J142430.4+332718 -1.0 -0.04176165073017524 -0.5417616507301752 434.0 26.879656415057173
NDWFS_J142433.0+345718 -1.0 -0.018108954229791308 -0.5181089542297913 678.0 27.614529816459388
NDWFS_J143218.8+324922 1.0 0.06290834125263517 -0.43709165874736483 1249.0 34.84421784564877
NDWFS_J143042.6+340209 1.0 0.07278468781787334 -0.42721531218212666 1063.0 67.68310734856635
NDWFS_J143210.9+335119 1.0 0.050670895879778854 -0.44932910412022115 4072.0 77.16190241647062
NDWFS_J142738.9+341927 1.0 0.06413575981753944 -0.43586424018246056 1251.0 73.26892049331124
NDWFS_J143241.9+354903 1.0 0.06898404542797143 -0.43101595457202857 791.0 29.037286148533596
NDWFS_J142909.1+343111 -1.0 -0.042201756116866385 -0.5422017561168664 4366.0 70.25596452414503
NDWFS_J143304.5+332026 -1.0 -0.012528348831365554 -0.5125283488313656 919.0 51.497094351337424
NDWFS_J142511.5+324734 -1.0 -0.014588541306398972 -0.514588541306399 3091.0 192.54043772837952
NDWFS_J143744.4+343739 1.0 0.03137756867509561 -0.4686224313249044 1649.0 46.348139685341664
NDWFS_J143712.0+333639 1.0 0.059779024417056126 -0.4402209755829439 699.0 29.459931937788063
NDWFS_J143233.5+353622 1.0 0.07010182578839907 -0.4298981742116009 1824.0 39.4691873116901
NDWFS_J142701.0+345120 1.0 0.025821007351273684 -0.4741789926487263 1285.0 39.71515568116567
NDWFS_J142459.3+351520 -1.0 -0.01542988325178396 -0.515429883251784 1148.0 60.89512535523972
NDWFS_J143145.2+342641 1.0 0.060635629251349854 -0.43936437074865015 941.0 45.33468352321964
NDWFS_J143727.2+341503 1.0 0.06015045697235 -0.43984954302765 2061.0 123.94090577221743
NDWFS_J142648.5+341628 1.0 0.06958447668273599 -0.430415523317264 1680.0 28.61352134026085
NDWFS_J143140.4+353737 1.0 0.0565002055627401 -0.4434997944372599 1205.0 48.947173198334866
NDWFS_J142757.6+353110 1.0 0.046211228910600366 -0.45378877108939963 1281.0 26.49227226365972
NDWFS_J143145.5+333941 1.0 0.06485378006501435 -0.43514621993498565 1365.0 28.394693141109443
NDWFS_J143242.5+331618 1.0 0.045095164293852796 -0.4549048357061472 1000.0 27.74896857102432
NDWFS_J143152.9+331951 1.0 0.055811818338076136 -0.44418818166192386 1376.0 40.83422076692179
NDWFS_J142602.3+341032 1.0 0.062259312355078644 -0.43774068764492136 1825.0 55.59262273388326
NDWFS_J142841.8+352907 1.0 0.06839948995837558 -0.4316005100416244 1313.0 55.98492641534801
NDWFS_J143007.2+353448 1.0 0.06219042393179225 -0.43780957606820775 1579.0 38.443468472587824
NDWFS_J143011.3+340517 -1.0 -0.05307247999442577 -0.5530724799944258 790.0 27.021810621184866
NDWFS_J143602.0+350525 -1.0 -0.003209263755879488 -0.5032092637558795 1456.0 106.40715743373914
NDWFS_J142705.5+330850 -1.0 -0.003666494620220173 -0.5036664946202202 2007.0 60.91194209503806
NDWFS_J142543.5+341450 1.0 0.06633578288510761 -0.4336642171148924 930.0 46.57733417918727
NDWFS_J143819.8+334952 1.0 0.05481955458491966 -0.44518044541508034 1011.0 36.752350325315305
NDWFS_J143102.8+352041 -1.0 -0.0032049106198900335 -0.50320491061989 1699.0 71.8345720459295
NDWFS_J143136.9+354315 1.0 0.06524618105252905 -0.43475381894747095 1067.0 60.0114594925424
NDWFS_J142726.7+334453 1.0 0.0589255238422689 -0.4410744761577311 824.0 60.845682250687375
NDWFS_J142459.0+323229 1.0 0.06811219543822744 -0.43188780456177256 1228.0 32.93699015590741
NDWFS_J142530.2+333013 1.0 0.026015266346937516 -0.4739847336530625 1802.0 39.6905336734699
NDWFS_J142915.5+342900 1.0 0.0718259341850987 -0.4281740658149013 1420.0 36.2437495148925
NDWFS_J142921.9+344631 1.0 0.062489931095056406 -0.4375100689049436 1483.0 54.360547014338465
NDWFS_J142448.9+331656 1.0 0.07569554296007552 -0.4243044570399245 1046.0 47.47261935594029
NDWFS_J143303.3+341656 1.0 0.08194682764974714 -0.41805317235025286 1033.0 30.72247560775
NDWFS_J143236.7+344213 1.0 0.0034696487839941392 -0.49653035121600586 2850.0 93.82755631088952
NDWFS_J143320.8+353323 -1.0 -0.07613197949892081 -0.5761319794989208 1263.0 70.02594737655966
NDWFS_J143352.7+334434 1.0 0.04626781123492829 -0.4537321887650717 682.0 32.72715807202027
NDWFS_J143133.7+333001 1.0 0.08001886741988601 -0.419981132580114 720.0 26.316473715846485
NDWFS_J143554.2+344016 -1.0 -0.04495876032505919 -0.5449587603250592 5369.0 234.79227235585728
