# x, y, labels, names, probas
-5.5790668 8.18475 LAB NDWFS_J142650.5+342005 0.9467702507972717
0.88201123 10.896833 LAB NDWFS_J142723.5+342709 0.9501833319664001
-0.46133828 2.0108411 LAB NDWFS_J142616.2+341538 0.9439323544502258
-1.4537306 -0.9476163 LAB NDWFS_J142635.7+342044 0.8468656539916992
4.0431204 1.0302248 LAB NDWFS_J142611.3+342325 0.9171963334083557
7.839681 -0.5743949 LAB NDWFS_J142617.8+342714 0.8233678936958313
-1.2040231 1.4985521 LAB NDWFS_J142456.2+341513 0.9419488310813904
-2.3648934 15.556617 LAB NDWFS_J142517.5+341608 0.9491124749183655
11.161262 -5.361185 LAB NDWFS_J142445.0+341626 0.8958874344825745
3.0305037 4.667525 LAB NDWFS_J142719.2+340417 0.964817225933075
-3.4733438 11.134912 LAB NDWFS_J142637.4+340859 0.9812377095222473
5.619602 -2.9473732 LAB NDWFS_J142639.3+340935 0.8674893975257874
0.29240483 5.783875 LAB NDWFS_J142557.4+340447 0.9699230194091797
-4.6678915 10.65899 LAB NDWFS_J142630.4+341345 0.9705321192741394
-3.3783543 3.510444 LAB NDWFS_J142535.9+341315 0.5786953568458557
0.665337 2.621326 LAB NDWFS_J142444.1+340448 0.9663894176483154
0.034015402 18.246922 LAB NDWFS_J142516.7+340842 0.8093226552009583
-3.741456 8.436137 LAB NDWFS_J142520.0+341111 0.9766760468482971
6.3383884 -2.944129 LAB NDWFS_J142448.7+341436 0.8142126202583313
-2.0880575 9.171706 LAB NDWFS_J142529.4+341316 0.9816079139709473
-3.2851913 10.881625 LAB NDWFS_J142510.0+341335 0.9816073179244995
-4.704634 6.4467516 LAB NDWFS_J142526.4+343856 0.9601569175720215
-2.5169556 13.173173 LAB NDWFS_J142536.8+343733 0.9722947478294373
-2.038826 11.532829 LAB NDWFS_J142614.8+344433 0.9689474105834961
-1.5413687 0.45390308 LAB NDWFS_J142539.7+344959 0.9188984036445618
-3.1190524 10.636012 LAB NDWFS_J142443.8+344832 0.9611785411834717
-3.2701259 -13.97588 LAB NDWFS_J142600.9+350252 0.08724840730428696
-4.5083065 7.222281 LAB NDWFS_J142722.5+345225 0.9429717659950256
4.0527053 4.3301606 LAB NDWFS_J142707.8+344748 0.9777640104293823
3.7949653 6.4584293 LAB NDWFS_J142532.9+343910 0.9391323328018188
3.7408264 5.7755423 LAB NDWFS_J142458.8+351446 0.9779630303382874
-2.558847 5.1646795 LAB NDWFS_J142717.3+350548 0.9446695446968079
-0.2301598 2.6201675 LAB NDWFS_J142708.7+350937 0.9482622146606445
-2.0322511 15.117336 LAB NDWFS_J142637.2+351106 0.955675482749939
-1.7572719 9.095175 LAB NDWFS_J142636.5+351224 0.9613620638847351
3.7039158 9.47796 LAB NDWFS_J142712.0+351405 0.9874513745307922
-3.1871004 5.0891633 LAB NDWFS_J142628.0+350543 0.981609046459198
-5.3067718 6.5251956 LAB NDWFS_J142604.0+351025 0.9267112612724304
-1.4084461 13.524884 LAB NDWFS_J142554.4+351151 0.9824790954589844
-1.5973915 1.7842119 LAB NDWFS_J142616.1+351415 0.5811716914176941
-0.23872288 9.438776 LAB NDWFS_J142436.5+350358 0.9763903617858887
-2.5230403 10.031655 LAB NDWFS_J142519.2+350508 0.9755599498748779
-2.9156559 5.767481 LAB NDWFS_J142446.5+350735 0.9015756845474243
-2.847923 2.7932754 LAB NDWFS_J142516.6+350803 0.8555812239646912
0.68747294 2.1536393 LAB NDWFS_J142520.5+350902 0.9588807225227356
-1.6439853 13.844165 LAB NDWFS_J142519.6+351119 0.9687598943710327
11.246588 -3.274784 LAB NDWFS_J142501.4+351306 0.8588736653327942
-1.1695299 12.850561 LAB NDWFS_J142518.4+351150 0.978190541267395
4.6500564 -6.921303 LAB NDWFS_J142722.8+345127 0.08049201965332031
-2.6509738 3.8638537 LAB NDWFS_J142714.2+345205 0.9748698472976685
-3.4383397 4.6575274 LAB NDWFS_J142646.3+345253 0.9709299802780151
-1.0836654 9.144133 LAB NDWFS_J142639.7+345320 0.9667514562606812
-2.7566576 10.280956 LAB NDWFS_J142701.5+345917 0.9613900780677795
-2.3686378 5.726689 LAB NDWFS_J142706.3+350026 0.9768288731575012
-2.2774892 5.0976973 LAB NDWFS_J142714.2+350215 0.8445232510566711
4.746122 -2.2389472 LAB NDWFS_J142554.5+345220 0.7966750264167786
-0.8372952 15.855742 LAB NDWFS_J142625.2+345233 0.862331748008728
